Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
13033.5,11.71344,100695.3,100711,286.6612,286.6613,109274.9,110123,296.8527,296.9337,1.08520358,1.035552422,1.035834624,0.659619156
13033.5,11.17124,100695.3,100712.7,286.6611,286.6616,113457,113932.5,299.0369,299.0614,1.126735806,1.043172234,1.043255881,0.801754943
13033.5,11.0367,100695.3,100713.5,286.6611,286.6618,114368.6,114796.4,299.5419,299.5505,1.13578886,1.044933896,1.044961345,0.824020999
13033.5,10.87835,100695.3,100713.5,286.661,286.6617,115400.5,115782.9,300.1287,300.1194,1.146036607,1.046981278,1.046946278,0.845943736
13033.5,10.67029,100695.3,100714.1,286.661,286.6611,116501.6,116831.7,300.8617,300.8281,1.156971577,1.049538305,1.049420727,0.860746707
13033.5,10.41093,100695.3,100715.4,286.661,286.6614,117663.3,117950.9,301.7425,301.6771,1.168508361,1.052610924,1.052381311,0.868600138
13033.5,10.23186,100695.2,100716.2,286.6609,286.6607,118396,118658.9,302.3304,302.2446,1.175785936,1.054662146,1.054363573,0.871074218
13033.5,10.03742,100695.2,100717.1,286.6609,286.6608,119148.4,119387.3,302.9618,302.8528,1.18325799,1.056864749,1.056484877,0.871951744
13033.5,9.748722,100695.3,100718.6,286.6608,286.6612,120190.7,120390.3,303.8886,303.7454,1.193607845,1.060098207,1.059597183,0.870278395
13033.5,9.586532,100695.3,100719.5,286.6608,286.6615,120718.2,120895.1,304.3958,304.2406,1.198846421,1.061867545,1.061323547,0.86725375
13033.5,9.40593,100695.3,100720.5,286.6608,286.661,121191.7,121354.9,304.9112,304.7451,1.203548726,1.063665489,1.063085317,0.861717177
13033.5,9.20465,100695.3,100721.9,286.6607,286.6619,121615.4,121767.9,305.4451,305.269,1.207756469,1.065528341,1.064909568,0.853704342
13033.5,9.092209,100695.3,100722.8,286.6606,286.662,121790.2,121940,305.7194,305.5325,1.209492399,1.066485593,1.065828397,0.848369068
13033.5,8.970142,100695.3,100723.8,286.6606,286.6628,121918.9,122069.4,305.9892,305.7897,1.210770513,1.067426776,1.066722644,0.841774818
13033.5,8.831916,100695.3,100724.7,286.6606,286.6611,121968.1,122124.7,306.2478,306.0268,1.211259115,1.068328888,1.067556079,0.83319221
