Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
8.831916,0.1139278,-0.1654939,1.06E-05,87.4996362,-2.416906099,100074.4724,0.993834592
8.831916,0.11393,-0.1654941,6.07E-05,87.26169274,-1.320668816,108121.0924,1.073745174
8.831916,0.1139371,-0.1654946,0.000137482,86.8416562,0.073711605,118457.7103,1.176397611
8.831916,0.113945,-0.1654952,0.00025507,85.76934693,0.048502895,119205.2203,1.183821095
8.831916,0.1139593,-0.1654962,0.000433628,84.07218909,0.027193023,120165.3757,1.193356351
8.831916,0.1139793,-0.1654977,0.000707702,81.68880718,0.031582108,120982.4248,1.201470424
8.831916,0.1140117,-0.1655001,0.00112579,79.19150753,0.042764105,121346.8269,1.205089283
8.831916,0.1140593,-0.1655035,0.001764701,76.77218788,0.066654167,121696.2525,1.208559412
8.831916,0.1141324,-0.1655088,0.002740934,74.54606281,0.106908601,121973.9732,1.211317442
8.831916,0.1142437,-0.1655169,0.004232254,71.85853391,0.195063383,122308.7301,1.214641896
8.831916,0.1144168,-0.1655295,0.006509965,68.5784018,0.33130441,122700.9285,1.218536799
8.831916,0.1146776,-0.1655485,0.009989581,64.89294189,0.502864248,123305.9236,1.224544975
8.831916,0.1150783,-0.1655777,0.01530625,61.14645976,0.751421219,124058.5209,1.232018981
8.831916,0.1156903,-0.1656223,0.0234275,57.48805796,1.092600744,124794.4038,1.239326997
8.831916,0.116623,-0.1656902,0.03583257,54.23164448,1.619098438,125357.7122,1.244921185
8.831916,0.1180496,-0.165794,0.05478453,51.31018971,2.284443684,125500.4416,1.246338623
8.831916,0.1197743,-0.1659196,0.07770674,49.37174833,2.822367838,125371.2024,1.245055155
8.831916,0.121521,-0.1660467,0.1008968,48.04258975,3.252835831,125216.6504,1.243520308
8.831916,0.1233063,-0.1661767,0.1246154,47.00483938,3.64547689,125057.1841,1.241936656
8.831916,0.1251313,-0.1663096,0.1488755,46.30403058,3.945555513,124911.948,1.240494323
8.831916,0.1269994,-0.1664456,0.173688,45.67793869,4.232734346,124761.6685,1.239001905
8.831916,0.1289111,-0.1665847,0.1990669,45.34238706,4.465713358,124603.1644,1.237427808
8.831916,0.1308655,-0.166727,0.2250242,45.1076287,4.677349432,124449.6867,1.235903629
8.831916,0.1328635,-0.1668725,0.2515732,45.03279626,4.844088334,124313.6577,1.234552731
8.831916,0.1349072,-0.1670212,0.278727,45.08159797,4.939097264,124193.7068,1.233361505
8.831916,0.1369978,-0.1671734,0.3065,45.12764153,4.9920065,124098.2916,1.232413941
8.831916,0.1391363,-0.1673291,0.3349057,45.06888237,5.029836573,124006.5335,1.231502697
8.831916,0.1413225,-0.1674883,0.363959,44.83201042,5.063964285,123909.5585,1.230539643
8.831916,0.1435595,-0.1676511,0.3936728,44.412159,5.083746075,123802.9133,1.229480555
8.831916,0.1458467,-0.1678176,0.4240642,43.87693322,5.075229888,123692.6134,1.228385172
8.831916,0.1481865,-0.167988,0.4551472,43.27125029,5.035788774,123558.5525,1.227053819
8.831916,0.1505799,-0.1681622,0.4869388,42.59461276,4.974024045,123386.5102,1.225345276
8.831916,0.1529998,-0.1683384,0.5190873,41.84690925,4.867331449,123177.2169,1.223266795
8.831916,0.1554195,-0.1685145,0.5512351,41.08930159,4.731511509,122961.9996,1.221129482
8.831916,0.1578388,-0.1686907,0.583384,40.38368032,4.594847806,122763.6835,1.219160015
8.831916,0.1602604,-0.168867,0.6155317,39.76348146,4.468369057,122592.4565,1.217459569
8.831916,0.162679,-0.169043,0.6476796,39.13487519,4.356861731,122436.79,1.215913652
8.831916,0.1650998,-0.1692193,0.6798272,38.26891291,4.247411639,122280.1366,1.214357935
8.831916,0.1675192,-0.1693954,0.7119747,36.91043385,4.127031969,122119.6135,1.212763788
8.831916,0.169938,-0.1695715,0.7441218,35.22512671,3.99193221,121974.5228,1.2113229
8.831916,0.1723601,-0.1697478,0.7762688,34.24494297,3.847920883,121848.2216,1.210068609
8.831916,0.1747779,-0.1699238,0.8084159,35.4838922,3.745566198,121749.6224,1.209089425
8.831916,0.1771995,-0.1701001,0.840563,40.62043175,3.652028238,121767.546,1.209267423
8.831916,0.1796187,-0.1702762,0.8727089,48.74429336,3.243604548,122197.7358,1.213539617
8.831916,0.1820375,-0.1704523,0.9048568,57.82542587,2.830368903,123232.3642,1.22381446
8.831916,0.1840751,-0.1706007,0.9319113,65.0264098,2.172703229,124550.3882,1.23690369
8.831916,0.1854676,-0.170702,0.9503965,69.82685108,1.541113485,125496.8066,1.246302524
8.831916,0.1864167,-0.1707711,0.9630267,72.73141492,1.044760344,125811.7322,1.249430035
8.831916,0.1870671,-0.1708185,0.9716559,74.60305993,0.694985271,125564.7123,1.246976893
8.831916,0.1875108,-0.1708508,0.9775529,75.57700298,0.576819815,124852.8985,1.239907905
8.831916,0.1878139,-0.1708729,0.9815806,76.18535877,0.477262864,124063.6,1.232069421
8.831916,0.1880196,-0.1708878,0.9843326,76.37017641,0.416818139,123234.6744,1.223837402
8.831916,0.1881611,-0.1708981,0.986213,76.46735634,0.368894681,122551.6546,1.217054367
8.831916,0.1882603,-0.1709053,0.9874985,76.49851084,0.345584028,122018.3157,1.211757805
8.831916,0.1883245,-0.17091,0.9883755,76.5041775,0.327285953,121637.4561,1.207975507
8.831916,0.1883699,-0.1709133,0.9889753,76.50632145,0.309972674,121378.7342,1.205406153
