Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
8.831916,0.1235,-0.088,7.94E-06,115469.3335,305.9996674,1.14672019,1.067463291
8.831916,0.1235,-0.088,2.83E-05,115495.7682,306.0081814,1.146982711,1.067492991
8.831916,0.1235,-0.088,5.89E-05,115536.0919,306.0204436,1.147383164,1.067535767
8.831916,0.12351,-0.088,0.00010635,115602.753,306.0331102,1.148045172,1.067579954
8.831916,0.12351,-0.088,0.000178728,115760.5984,306.0565405,1.149612727,1.067661689
8.831916,0.12352,-0.088,0.00028926,116227.9696,306.1047731,1.154254167,1.067829946
8.831916,0.12353,-0.088,0.000458251,116651.2253,306.1447222,1.158457498,1.067969307
8.831916,0.12355,-0.088,0.000716987,117155.991,306.1924953,1.163470301,1.06813596
8.831916,0.12357,-0.088,0.001112146,117570.5957,306.2293774,1.16758772,1.068264622
8.831916,0.12361,-0.088,0.001716888,118012.0761,306.2695036,1.171972039,1.0684046
8.831916,0.12367,-0.088,0.002641267,118492.3636,306.3019794,1.176741751,1.06851789
8.831916,0.12376,-0.088,0.004054381,119036.7639,306.3371046,1.182148163,1.068640422
8.831916,0.12389,-0.088,0.006215378,119662.2883,306.3570117,1.188360214,1.068709867
8.831916,0.1241,-0.088,0.009518197,120413.4097,306.3576106,1.195819564,1.068711956
8.831916,0.12442,-0.088,0.01456743,121301.2075,306.3236347,1.204636239,1.068593433
8.831916,0.1249,-0.088,0.02228582,122303.558,306.2154396,1.214590532,1.068216
8.831916,0.12549,-0.088,0.0315637,123113.2799,305.9720804,1.22263184,1.067367055
8.831916,0.1261,-0.088,0.04127835,123531.8918,305.6785097,1.226789054,1.066342949
8.831916,0.12678,-0.088,0.05202657,123700.1762,305.3887556,1.228460278,1.065332158
8.831916,0.12753,-0.088,0.06391803,123664.5921,305.1333715,1.228106894,1.064441264
8.831916,0.12836,-0.088,0.07707527,123557.8635,304.9120812,1.227046977,1.063669305
8.831916,0.12927,-0.088,0.09163291,123433.4704,304.7304723,1.225811636,1.063035772
8.831916,0.13029,-0.088,0.1077399,123369.5669,304.6269259,1.225177013,1.062674556
8.831916,0.13141,-0.088,0.1255605,123309.5315,304.5584879,1.224580805,1.062435814
8.831916,0.13265,-0.088,0.1452767,123267.0255,304.5380601,1.22415868,1.062364553
8.831916,0.13403,-0.088,0.1670921,123196.6128,304.5301726,1.223459415,1.062337038
8.831916,0.13555,-0.088,0.1912286,123144.3359,304.5461,1.222940255,1.062392599
8.831916,0.13723,-0.088,0.2179329,123068.3659,304.5463606,1.222185801,1.062393509
8.831916,0.13909,-0.088,0.2474837,122995.0926,304.5434876,1.221458128,1.062383486
8.831916,0.14115,-0.088,0.2801705,122898.917,304.5184177,1.220503013,1.062296031
8.831916,0.14343,-0.088,0.3163426,122798.932,304.4909481,1.219510067,1.062200205
8.831916,0.14595,-0.088,0.3563637,122674.8637,304.4581858,1.21827795,1.062085916
8.831916,0.1486,-0.088,0.3984098,122525.3325,304.4272941,1.216792964,1.061978152
8.831916,0.15125,-0.088,0.4404466,122385.3338,304.4056439,1.215402643,1.061902626
8.831916,0.1539,-0.088,0.4824901,122221.974,304.3213344,1.213780325,1.061608517
8.831916,0.15655,-0.088,0.524539,122040.2894,304.1517317,1.211976025,1.061016867
8.831916,0.15919,-0.088,0.5665818,121869.0932,304.0206729,1.210275884,1.060559675
8.831916,0.16184,-0.088,0.6086174,121690.0646,304.1621372,1.20849796,1.061053166
8.831916,0.16449,-0.088,0.6506582,121579.8688,304.7705614,1.207403611,1.063175621
8.831916,0.16714,-0.088,0.6927133,121504.1926,305.6233044,1.206652074,1.066150369
8.831916,0.16979,-0.088,0.7347519,121445.6884,306.2974672,1.206071072,1.068502149
8.831916,0.17244,-0.088,0.7767892,121391.1636,306.7638995,1.205529589,1.070129273
8.831916,0.17509,-0.088,0.8188388,121339.2545,307.3525382,1.205014082,1.072182707
8.831916,0.17774,-0.088,0.8608818,121328.2274,308.4464823,1.204904573,1.075998872
8.831916,0.18038,-0.088,0.9029269,121270.4023,310.2246258,1.204330314,1.08220183
8.831916,0.18255,-0.088,0.9372233,120956.5265,312.107142,1.201213229,1.088768886
8.831916,0.18391,-0.088,0.9588922,120524.1609,313.4822176,1.196919428,1.093565762
8.831916,0.18477,-0.088,0.9725782,120117.3989,314.4608388,1.192879895,1.09697963
8.831916,0.18532,-0.088,0.9812143,119765.6176,315.170976,1.189386373,1.099456905
8.831916,0.18566,-0.088,0.9866676,119446.7964,315.6243336,1.186220175,1.101038418
