Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20019.91518,13.31851725,100630.6,100631.9,287.5759,287.577,160227,160449.6,340.6086,340.3584,1.592229401,1.18441288,1.183538322,0.774393812
20019.97436,13.87133011,100630.1,100630.8,287.5746,287.5753,160846.5,160960,338.4954,338.3085,1.598393522,1.17706988,1.176417098,0.81280397
20019.97436,14.40150181,100629.9,100630.4,287.5749,287.5753,160343.1,160410.9,336.3655,336.2169,1.59339421,1.169662234,1.169143873,0.841707124
20019.97088,14.62710465,100629.8,100630.3,287.575,287.5754,159087.3,159149.5,335.2556,335.116,1.580916389,1.165802312,1.165315253,0.845696082
20019.97436,14.7858767,100629.8,100630.2,287.575,287.5753,158403.2,158464.7,334.5135,334.3891,1.574118204,1.163221768,1.162787972,0.850209753
20019.97436,14.938722,100629.8,100630.2,287.5749,287.5753,157634.5,157696.8,333.7738,333.6623,1.566479313,1.160649973,1.160260634,0.853751539
20019.97436,15.21018775,100629.7,100630,287.575,287.5753,155977.9,156044.3,332.3572,332.265,1.550018533,1.15572355,1.155401733,0.85839947
20019.97784,15.44103731,100629.7,100629.9,287.5749,287.5752,154181.4,154252.8,330.9784,330.9002,1.532165951,1.150929375,1.150656246,0.860578896
20019.97784,15.65285789,100629.6,100629.9,287.575,287.5752,152389.8,152465.7,329.6445,329.5787,1.514363567,1.146290533,1.146060926,0.861871627
20019.97088,15.84347233,100629.5,100629.8,287.5751,287.5754,150654.3,150733.9,328.321,328.2686,1.497118638,1.141687858,1.141504454,0.863630752
20019.97436,15.98390168,100629.5,100629.7,287.5751,287.5753,148939.3,149022,327.1514,327.1076,1.480075922,1.137620747,1.137467648,0.862331659
20019.97784,16.1821312,100629.5,100629.7,287.575,287.5752,140536.5,140661,322.5859,322.5577,1.396573569,1.121745284,1.121646442,0.823181381
