Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20019.97436,14.29278312,100630,100630.5,287.5749,287.5753,159300.8,159389.3,336.2592,336.0542,1.58303488,1.169292591,1.168578108,0.831914955
20019.97088,14.63407541,100629.9,100630.3,287.575,287.5754,159079.1,159141.7,335.0643,334.9061,1.580833331,1.165137095,1.164585357,0.84934258
20019.97436,14.78891931,100629.8,100630.2,287.575,287.5753,158724.5,158781.7,334.4433,334.3042,1.577311095,1.162977658,1.162492745,0.855811671
20019.97436,14.99464365,100629.8,100630.3,287.5749,287.5753,158145.9,158201.6,333.6072,333.4959,1.571561307,1.160070646,1.159682003,0.863436602
20019.97436,15.27236927,100629.7,100630,287.575,287.5753,156429.5,156487.8,332.214,332.1187,1.554506274,1.155225593,1.154892997,0.867265613
20019.98132,15.50843244,100629.7,100629.9,287.5749,287.5751,154653.3,154717,330.8624,330.7838,1.536855421,1.150526002,1.150251882,0.869462424
20019.97784,15.72211847,100629.6,100629.9,287.575,287.5752,152870.7,152938.9,329.5329,329.4694,1.519142479,1.14590246,1.145680851,0.871080604
20019.97436,15.91710575,100629.5,100629.7,287.5751,287.5753,151102.1,151173.5,328.2162,328.1663,1.501568626,1.141323432,1.141149118,0.8725497
20019.97436,16.00503633,100629.5,100629.7,287.5751,287.5753,150014.7,150087.3,327.4746,327.4308,1.490762649,1.138744627,1.138591527,0.871945781
20019.97436,16.18879906,100629.4,100629.6,287.5752,287.5753,140521.9,140645.5,322.3851,322.3601,1.39642987,1.121046252,1.120958928,0.827592843
