Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20019.24342,14.43212894,100573,100573.3,287.5959,287.5963,156613,156664.7,334.9285,334.7896,1.557207203,1.164580232,1.164095644,0.822057964
20019.2469,14.49666259,100572.9,100573.3,287.5959,287.5962,156901.7,156949.3,334.8393,334.7042,1.560079306,1.164270075,1.163799104,0.827194956
20019.26083,14.7891464,100572.9,100573.2,287.5956,287.5958,156631.3,156672.4,333.6537,333.5528,1.557390709,1.160148834,1.159797188,0.844409983
20019.25387,14.91940153,100572.9,100573.2,287.5957,287.596,156879.7,156920.8,334.1084,333.9998,1.559860559,1.16172947,1.161350645,0.83946551
20019.26779,15.25374263,100572.9,100573.1,287.5954,287.5956,155526.4,155568.3,332.1922,332.1132,1.546404648,1.155067849,1.154792354,0.856897155
20019.27475,15.50450042,100572.9,100573.1,287.5952,287.5954,154010.6,154054.7,330.721,330.6561,1.531332993,1.149953129,1.149726665,0.86474968
20019.27823,15.72219179,100572.8,100573,287.5951,287.5953,152293.1,152341.3,329.3799,329.3303,1.514257334,1.145290375,1.145117114,0.867321556
20019.27823,15.91579519,100572.8,100573,287.5951,287.5953,150524.4,150574.4,327.9762,327.9394,1.496671068,1.140409555,1.140280804,0.870480709
20019.27823,15.99822295,100572.8,100573,287.5951,287.5953,149370.4,149421.2,327.1913,327.1605,1.485196793,1.137680371,1.137572485,0.869701955
20019.28171,16.14228806,100572.8,100572.9,287.595,287.5952,139744.3,139833.8,322.0151,322.0043,1.389484035,1.11968254,1.119644208,0.82359652
