Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.9931181,0.11393,-0.16568,0,88.58739,-4.035692,148371.5,1.475264684
15.9931181,0.1177285,-0.165946,0.05,41.54534,4.872037,157228,1.563325273
15.9931181,0.121527,-0.166212,0.1,41.10156,6.41905,155616.4,1.54730106
15.9931181,0.1253255,-0.166478,0.15,40.91096,7.095704,154324.9,1.534459615
15.9931181,0.129124,-0.166744,0.2,40.19512,7.165307,153908.3,1.530317342
15.9931181,0.1329225,-0.16701,0.25,39.36184,6.966479,153778.7,1.529028723
15.9931181,0.136721,-0.167276,0.3,38.49639,6.706284,153647.3,1.527722207
15.9931181,0.1405195,-0.167542,0.35,37.67315,6.432834,153473.4,1.525993111
15.9931181,0.144318,-0.167808,0.4,36.90709,6.125378,153255.5,1.523826522
15.9931181,0.1481165,-0.168074,0.45,36.17557,5.774521,153044.3,1.52172655
15.9931181,0.151915,-0.16834,0.5,35.46629,5.400507,152860,1.519894047
15.9931181,0.1557135,-0.168606,0.55,34.79774,5.022104,152686,1.518163957
15.9931181,0.159512,-0.168872,0.6,34.21792,4.657622,152540.3,1.516715255
15.9931181,0.1633105,-0.169138,0.65,33.7777,4.320974,152443.9,1.515756745
15.9931181,0.167109,-0.169404,0.7,33.51672,4.028478,152377.1,1.51509255
15.9931181,0.1709075,-0.16967,0.75,33.46736,3.80036,152308.1,1.51440648
15.9931181,0.174706,-0.169936,0.8,33.88266,3.628018,152490.1,1.516216114
15.9931181,0.1785045,-0.170202,0.85,35.80999,3.51152,153164.8,1.522924687
15.9931181,0.182303,-0.170468,0.9,40.28889,3.524818,152082.1,1.512159351
15.9931181,0.1861015,-0.170734,0.95,46.97555,3.388248,144597.9,1.437743605
15.9931181,0.1899,-0.171,1,59.72908,1.867846,135163,1.343931958
14.76449672,0.11393,-0.16568,0,88.53013,-2.451806,157562.6,1.566650658
14.76449672,0.1177285,-0.165946,0.05,47.76183,4.845572,163682.7,1.627503035
14.76449672,0.121527,-0.166212,0.1,47.31194,6.516174,162477.7,1.615521676
14.76449672,0.1253255,-0.166478,0.15,47.2879,7.386267,161357.6,1.604384481
14.76449672,0.129124,-0.166744,0.2,46.68279,7.758328,160764.4,1.598486272
14.76449672,0.1329225,-0.16701,0.25,45.88971,7.822344,160687.6,1.597722647
14.76449672,0.136721,-0.167276,0.3,44.97572,7.701198,160732.9,1.598173067
14.76449672,0.1405195,-0.167542,0.35,44.01633,7.469662,160763.9,1.598481301
14.76449672,0.144318,-0.167808,0.4,43.02854,7.186485,160791.1,1.598751751
14.76449672,0.1481165,-0.168074,0.45,42.03904,6.88178,160818.2,1.599021208
14.76449672,0.151915,-0.16834,0.5,41.14077,6.567546,160855.8,1.599395066
14.76449672,0.1557135,-0.168606,0.55,40.57548,6.244198,160921.6,1.600049317
14.76449672,0.159512,-0.168872,0.6,40.53529,5.914914,161049.8,1.601324015
14.76449672,0.1633105,-0.169138,0.65,41.06032,5.584526,161261.8,1.603431938
14.76449672,0.167109,-0.169404,0.7,41.7952,5.262179,161512.5,1.605924658
14.76449672,0.1709075,-0.16967,0.75,42.17463,4.917695,161766.3,1.6084482
14.76449672,0.174706,-0.169936,0.8,42.52045,4.622079,162254,1.613297419
14.76449672,0.1785045,-0.170202,0.85,45.44915,4.56827,162951.4,1.620231693
14.76449672,0.182303,-0.170468,0.9,52.04373,4.405734,163006.5,1.620779554
14.76449672,0.1861015,-0.170734,0.95,60.96979,3.526001,161149.1,1.602311358
14.76449672,0.1899,-0.171,1,69.48863,1.808579,152482.2,1.516136057
