Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.9931181,0.1201,-0.088,0,143078,330.4111,1.422631169,1.148875972
15.9931181,0.12359,-0.088,0.05,154671.4,327.8711,1.537904881,1.140044111
15.9931181,0.12708,-0.088,0.1,154172.3,326.7287,1.532942306,1.136071859
15.9931181,0.13057,-0.088,0.15,153360.9,326.466,1.524874519,1.135158422
15.9931181,0.13406,-0.088,0.2,152975.6,326.2732,1.521043463,1.134488035
15.9931181,0.13755,-0.088,0.25,152787.8,326.1284,1.519176159,1.13398455
15.9931181,0.14104,-0.088,0.3,152660.7,326.0276,1.517912398,1.133634057
15.9931181,0.14453,-0.088,0.35,152527.5,325.9526,1.516587984,1.133373274
15.9931181,0.14802,-0.088,0.4,152375.8,325.8948,1.515079624,1.133172297
15.9931181,0.15151,-0.088,0.45,152214.9,325.8534,1.513479788,1.133028344
15.9931181,0.155,-0.088,0.5,152052.6,325.8456,1.511866031,1.133001223
15.9931181,0.15849,-0.088,0.55,151895,325.9028,1.510299007,1.133200114
15.9931181,0.16198,-0.088,0.6,151748.6,326.0499,1.508843345,1.133711597
15.9931181,0.16547,-0.088,0.65,151621.2,326.3045,1.507576601,1.134596869
15.9931181,0.16896,-0.088,0.7,151506.6,326.675,1.506437128,1.135885139
15.9931181,0.17245,-0.088,0.75,151502.1,327.2728,1.506392384,1.137963755
15.9931181,0.17594,-0.088,0.8,151567.4,328.3675,1.507041665,1.141770148
15.9931181,0.17943,-0.088,0.85,151411.5,330.6547,1.505491544,1.149722996
15.9931181,0.18292,-0.088,0.9,149710.1,333.4406,1.488574446,1.159409879
15.9931181,0.18641,-0.088,0.95,144890.3,334.8349,1.440650951,1.164258014
15.9931181,0.1899,-0.088,1,135825.4,335.4751,1.350518232,1.16648406
14.76449672,0.1201,-0.088,0,153027.8,333.3153,1.521560977,1.158971779
14.76449672,0.12359,-0.088,0.05,161549.8,331.574,1.606295533,1.152917099
14.76449672,0.12708,-0.088,0.1,160874.5,330.674,1.599581,1.149787705
14.76449672,0.13057,-0.088,0.15,160199.2,330.4816,1.592866468,1.149118711
14.76449672,0.13406,-0.088,0.2,159821.7,330.383,1.589112972,1.148775868
14.76449672,0.13755,-0.088,0.25,159648.6,330.3119,1.587391832,1.148528646
14.76449672,0.14104,-0.088,0.3,159618.3,330.2752,1.587090558,1.148401037
14.76449672,0.14453,-0.088,0.35,159676.5,330.2562,1.587669243,1.148334972
14.76449672,0.14802,-0.088,0.4,159757.2,330.234,1.588471646,1.14825778
14.76449672,0.15151,-0.088,0.45,159841.3,330.2477,1.589307855,1.148305416
14.76449672,0.155,-0.088,0.5,159925.6,330.4428,1.590146053,1.148983799
14.76449672,0.15849,-0.088,0.55,160024.2,331.0068,1.591126437,1.150944885
14.76449672,0.16198,-0.088,0.6,160145,331.9935,1.592327555,1.154375743
14.76449672,0.16547,-0.088,0.65,160257.3,333.3365,1.593444158,1.159045493
14.76449672,0.16896,-0.088,0.7,160247.7,334.8387,1.593348705,1.164268798
14.76449672,0.17245,-0.088,0.75,160147.5,336.4742,1.592352413,1.169955601
14.76449672,0.17594,-0.088,0.8,160030.9,338.3945,1.591193055,1.176632683
14.76449672,0.17943,-0.088,0.85,160015.5,341.3239,1.591039932,1.186818509
14.76449672,0.18292,-0.088,0.9,160219.4,344.9161,1.593067317,1.19930896
14.76449672,0.18641,-0.088,0.95,159054.1,349.4273,1.581480697,1.21499487
14.76449672,0.1899,-0.088,1,149860.9,352.0261,1.490072375,1.224031166
