"Operating_condition (e.g., stall cycle/stall inception)",r_probe(m),x_probe(m),Rotational_frame(yes/no)
Stall inception,0.1892,-0.235,yes
t(s),p(Pa),,
0,97665.56585,,
1.03E-06,97506.42364,,
2.06E-06,97342.41731,,
3.10E-06,97177.31316,,
4.13E-06,97006.76338,,
5.16E-06,96830.3474,,
6.19E-06,96651.85958,,
7.23E-06,96470.76026,,
8.26E-06,96286.77856,,
9.29E-06,96099.38613,,
1.03E-05,95912.44793,,
1.14E-05,95721.37619,,
1.24E-05,95529.81191,,
1.34E-05,95341.59603,,
1.45E-05,95152.43358,,
1.55E-05,94962.02866,,
1.65E-05,94774.3077,,
1.75E-05,94589.0655,,
1.86E-05,94410.43618,,
1.96E-05,94230.61482,,
2.06E-05,94057.43698,,
2.17E-05,93891.46888,,
2.27E-05,93733.09846,,
2.37E-05,93578.60661,,
2.48E-05,93432.81044,,
2.58E-05,93296.39774,,
2.68E-05,93170.15815,,
2.79E-05,93055.25393,,
2.89E-05,92952.45936,,
2.99E-05,92859.00748,,
3.10E-05,92779.77357,,
3.20E-05,92715.88514,,
3.30E-05,92664.28478,,
3.41E-05,92626.13817,,
3.51E-05,92602.71271,,
3.61E-05,92594.25575,,
3.72E-05,92597.88847,,
3.82E-05,92622.56585,,
3.92E-05,92656.43003,,
4.03E-05,92708.66137,,
4.13E-05,92775.09851,,
4.23E-05,92859.83315,,
4.34E-05,92959.41582,,
4.44E-05,93069.32497,,
4.54E-05,93197.68213,,
4.64E-05,93340.3347,,
4.75E-05,93492.64245,,
4.85E-05,93661.69622,,
4.95E-05,93839.39347,,
5.06E-05,94024.74416,,
5.16E-05,94224.48535,,
5.26E-05,94430.21888,,
5.37E-05,94644.84853,,
5.47E-05,94871.21783,,
5.57E-05,95100.72336,,
5.68E-05,95336.06003,,
5.78E-05,95576.88129,,
5.88E-05,95825.85402,,
5.99E-05,96074.55085,,
6.09E-05,96326.00906,,
6.19E-05,96579.75269,,
6.30E-05,96835.34777,,
6.40E-05,97092.05184,,
6.50E-05,97349.30621,,
6.61E-05,97606.91351,,
6.71E-05,97860.31065,,
6.81E-05,98113.38537,,
6.92E-05,98365.88835,,
7.02E-05,98613.75289,,
7.12E-05,98860.87761,,
7.23E-05,99107.32003,,
7.33E-05,99344.99975,,
7.43E-05,99581.99987,,
7.53E-05,99814.56224,,
7.64E-05,100042.7997,,
7.74E-05,100270.9019,,
7.84E-05,100487.0906,,
7.95E-05,100703.5109,,
8.05E-05,100912.4494,,
8.15E-05,101118.0726,,
8.26E-05,101316.5557,,
8.36E-05,101512.1042,,
8.46E-05,101701.0141,,
8.57E-05,101879.4422,,
8.67E-05,102055.6347,,
8.77E-05,102225.8153,,
8.88E-05,102394.1281,,
8.98E-05,102552.7611,,
9.08E-05,102705.8648,,
9.19E-05,102853.5985,,
9.29E-05,102992.0818,,
9.39E-05,103129.4213,,
9.50E-05,103257.736,,
9.60E-05,103381.1341,,
9.70E-05,103499.6774,,
9.81E-05,103609.4563,,
9.91E-05,103718.5542,,
0.000100121,103819.0269,,
0.000101153,103910.9651,,
0.000102185,104002.4447,,
