Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16,0.189,-0.17093,0.98689,63.0346,0.750753,128127,1.299541554
16,0.188,-0.17086,0.97379,56.3883,2.50037,134676,1.365965475
16,0.186,-0.17072,0.94759,46.7586,2.92471,139294,1.412804025
16,0.184,-0.17058,0.92138,42.4431,3.05339,141600,1.436192872
16,0.182,-0.17044,0.89517,39.5703,3.12628,143117,1.451579204
16,0.18,-0.1703,0.86897,38.0552,3.13132,143871,1.459226728
16,0.178,-0.17016,0.84276,36.5401,3.13635,144626,1.466884395
16,0.175,-0.16995,0.80345,34.7924,3.14923,145507,1.47582003
16,0.172,-0.16974,0.76414,33.3171,3.16488,146264,1.483497982
16,0.1691,-0.16954,0.72483,32.6426,3.26723,146600,1.486905897
16,0.1661,-0.16933,0.68552,32.1219,3.39379,146856,1.489502404
16,0.1631,-0.16912,0.64621,32.1932,3.66938,146848,1.489421263
16,0.1591,-0.16884,0.59379,32.4629,4.07957,146822,1.489157555
16,0.1551,-0.16856,0.54138,32.9977,4.55375,146802,1.488954703
16,0.1511,-0.16828,0.48897,33.6037,5.0123,146924,1.490192101
16,0.1471,-0.168,0.43655,34.1566,5.41692,147082,1.491794633
16,0.1421,-0.16765,0.37104,34.7477,5.82042,147311,1.494117289
16,0.1371,-0.1673,0.30552,35.2838,6.10395,147604,1.497089072
16,0.1321,-0.16695,0.24,36.0008,6.29535,148151,1.502637077
16,0.1272,-0.16661,0.17448,36.9944,6.41233,149017,1.511420573
16,0.1182,-0.16598,0.056553,40.0748,5.35415,152974,1.551554861
