Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16,0.1235,-0.088,0.05,149011,326.167,1.511359718,1.131934756
16,0.1288,-0.088,0.12571,148415,326.145,1.505314725,1.131858407
16,0.134,-0.088,0.2,147459,326.123,1.495618395,1.131782058
16,0.141,-0.088,0.3,146796,326.1,1.488893847,1.131702238
16,0.148,-0.088,0.4,146331,326.087,1.484177536,1.131657123
16,0.155,-0.088,0.5,145977,326.073,1.480587054,1.131608537
16,0.162,-0.088,0.6,145572,326.06,1.476479299,1.131563422
16,0.169,-0.088,0.7,145022,326.047,1.470900866,1.131518306
16,0.176,-0.088,0.8,144272,326.034,1.463293912,1.131473191
16,0.1813,-0.088,0.87571,142921,326.027,1.449591253,1.131448898
16,0.1865,-0.088,0.95,138669,326.021,1.406464896,1.131428076
